,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
252,IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008/8/21,914208,1935
253,J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007/10/26,52988,1947
254,JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2015/7/1,728535,1961
255,JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",2023/12/18,898293,1966
256,JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010/8/27,833444,1885
257,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",2018/11/13,779152,1976
258,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973/6/30,200406,1886
259,JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006/6/2,1043604,1996
260,JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975/6/30,19617,2000 (1799 / 1871)
261,K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1989/9/11,55067,1906
262,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022/6/21,1418135,1981
263,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994/3/1,91576,1825
264,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018/11/6,1601046,2014 (1939)
265,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015/7/6,1637459,2015 (1869)
266,KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006/4/4,879101,1958
267,KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York",2024/6/24,1404912,1976
268,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1997/9/30,319201,1975/1977 (1997)
269,KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957/3/4,55785,1872
270,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012/5/25,1506307,1997
271,KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010/6/28,1170010,1993
272,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957/3/4,21344,1886
273,KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957/3/4,56873,1883
274,KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2023/8/25,1944048,2022 (Johnson & Johnson spinoff)
275,L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",1995/5/31,60086,1959
276,LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019/8/9,1336920,1969
277,LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",2005/10/4,920760,1954
278,LH,Labcorp,Health Care,Health Care Services,"Burlington, North Carolina",2004/11/1,920148,1978
279,LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2008/9/22,202058,"2019 (L3 1997, Harris 1895)"
280,LII,Lennox International,Industrials,Building Products,"Richardson, Texas",2024/12/23,1069202,1895
281,LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1992/7/1,1707925,1879
282,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016/5/23,1065696,1998
283,LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970/12/31,59478,1876
284,LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1957/3/4,936468,1995
285,LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016/7/1,352541,1917
286,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984/2/29,60667,1904/1946/1959
287,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",2012/6/29,707549,1980
288,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",2023/10/18,1397187,1998
289,LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1994/7/1,92380,1967
290,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019/10/3,1300514,1988
291,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018/12/3,1679273,2016 (1950)
292,LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012/9/5,1489393,2007
293,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019/12/23,1335258,2010
294,MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008/7/18,1141391,1966
295,MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2016/12/2,912595,1977
296,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1998/5/29,1048286,1927
297,MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981/6/30,62996,1929
298,MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970/6/30,63908,1940
299,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007/9/7,827054,1989
300,MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1999/1/13,927653,1833
301,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1998/7/1,1059556,1909
302,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012/10/2,1103982,2012
303,MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1986/10/31,1613103,1949
304,MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",2000/12/11,1099219,1868
305,META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013/12/23,1326801,2004
306,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017/7/26,789570,1986
307,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013/12/23,851968,1878
308,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003/3/20,63754,1889
309,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019/7/1,1278021,2000
310,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014/7/2,916076,1993
311,MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1987/8/31,62709,1905
312,MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957/3/4,66740,1902
313,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012/6/28,865752,2012 (1935)
314,MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957/3/4,764180,1985
315,MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2022/3/2,1179929,1980
316,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011/9/26,1285785,2004 (1865 / 1909)
317,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011/7/1,1510295,2009 (1887)
318,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021/2/12,1280452,1997
319,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957/3/4,310158,1891
320,MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2021/7/21,1682852,2010
321,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1993/7/29,895421,1935
322,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,"New York City, New York",2018/4/4,1408198,1969
323,MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994/6/1,789019,1975
324,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957/3/4,68505,1928 (2011)
325,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004/2/23,36270,1856
326,MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021/9/20,891103,1986
327,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016/9/6,1037646,1945
328,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994/9/27,723125,1978
329,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017/10/13,1513761,2011 (1966)
330,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008/10/22,1120193,1971
331,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022/2/15,72331,1935
332,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976/6/30,753308,1984 (1925)
333,NEM,Newmont,Materials,Gold,"Denver, Colorado",1969/6/30,1164727,1921
334,NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010/12/20,1065280,1997
335,NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000/11/2,1111711,1912
336,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988/11/30,320187,1964
337,NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1957/3/4,1133421,"1994 (Northrop 1939, Grumman 1930)"
338,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019/11/21,1373715,2003
339,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010/1/29,1013871,1992
340,NSC,Norfolk Southern,Industrials,Rail Transportation,"Atlanta, Georgia",1957/3/4,702165,1881/1894 (1980)
341,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999/6/25,1002047,1992
342,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1998/1/30,73124,1889
343,NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985/4/30,73309,1940
344,NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001/11/30,1045810,1993
345,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",2019/9/26,906163,1980
346,NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015/9/18,1564708,2013 (News Corporation 1980)
347,NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013/8/1,1564708,2013 (News Corporation 1980)
348,NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021/3/22,1413447,1953
349,O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015/4/7,726728,1969
350,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2019/12/9,878927,1934
351,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010/3/15,1039684,1906
352,OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1997/12/31,29989,1986
353,ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022/6/21,1097864,1999
354,ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989/8/31,1341439,1977
355,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",2009/3/27,898173,1957
356,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020/4/3,1781335,"2020 (1853, United Technologies spinoff)"
357,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957/3/4,797468,1920
358,PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2023/6/20,1327567,2005
359,PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",1994/9/30,813828,2019 (Paramount Pictures 1912)
360,PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",2020/1/28,1590955,1998
361,PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1998/10/1,723531,1971
362,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980/12/31,75362,1905
363,PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",2022/10/3,1004980,1905
364,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957/3/4,788784,1903
365,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957/3/4,77476,1898
366,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957/3/4,78003,1849
367,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002/7/22,1126328,1879
368,PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957/3/4,80424,1837
369,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997/8/4,80661,1937
370,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985/11/30,76334,1917
371,PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984/4/30,822416,1956
372,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017/7/26,75677,1959
373,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003/7/17,1045609,1983
374,PLTR,Palantir Technologies,Information Technology,Application Software,"Denver, Colorado",2024/9/23,1321655,2003
375,PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008/3/31,1413329,2008 (1847)
376,PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",1988/4/30,713676,1845
377,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",2012/10/1,77360,1966
378,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",1999/10/4,764622,1985
379,PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",2023/3/15,1145197,2000
380,POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2020/10/7,945841,1993
381,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957/3/4,79879,1883
382,PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",2001/10/1,922224,1920
383,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002/7/22,1137774,1875
384,PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",2005/8/19,1393311,1972
385,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012/5/1,1534701,2012 (1917)
386,PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",2021/4/20,857005,1985
387,PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009/7/1,1050915,1997
388,PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",2015/7/20,1633917,1998
389,QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1999/7/22,804328,1985
390,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014/12/5,884887,1997
391,REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017/3/2,910606,1963
392,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",2013/5/1,872589,1988
393,RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998/8/28,1281761,1971
394,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017/3/20,720005,1962
395,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007/2/2,1037038,1967
396,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017/7/26,943819,1989
397,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",2000/3/12,1024478,1903
398,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018/10/1,84839,1948
399,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",2009/12/23,882835,1981
400,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009/12/21,745732,1982
401,RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008/12/5,1060391,1998 (1981)
402,RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1957/3/4,101829,1922
403,RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985/5/31,31791,1937
404,SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",2017/9/1,1034054,1989
405,SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000/6/7,829224,1971
406,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997/6/2,316709,1971
407,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964/6/30,89800,1866
408,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008/11/6,91419,1897
409,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957/3/4,87347,1926
410,SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2024/3/18,1375365,1993
411,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982/9/30,91440,1920
412,SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",2017/3/16,883241,1986
413,SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957/3/4,92122,1945
414,SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",2024/4/1,1964738,2023
415,SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002/6/26,1063761,2003
416,SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1957/3/4,64040,1917
417,SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",2017/3/17,1032208,1998
418,STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019/12/23,1757898,1985
419,STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2022/12/22,1022671,1993
420,STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",2003/3/14,93751,1792
421,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012/7/2,1137789,1979
422,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2005/7/1,16918,1945
423,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2024/7/8,2005951,1934
424,SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982/9/30,93556,1843
425,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015/3/12,4127,2002
426,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015/11/18,1601712,2003
427,SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000/12/12,310764,1941
428,SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986/12/31,96021,1969
429,T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983/11/30,732717,1983 (1885)
430,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",1976/6/30,24545,"2005 (Molson 1786, Coors 1873)"
431,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016/6/3,1260221,1993
432,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2020/6/22,1094285,1960
433,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021/8/30,842023,1976
434,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",2011/10/17,1385157,2007
435,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2020/9/21,97210,1960
436,TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",1997/12/4,92230,1872
437,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976/12/31,27419,1902
438,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985/9/30,109198,1987
439,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"New York City, New York",2025/3/24,1973266,2023
440,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004/8/3,97745,2006 (1902)
441,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019/7/15,1283699,1994
442,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",2024/11/26,1811074,1888
443,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2004/9/1,1116132,2017
444,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022/10/12,1389170,2005
445,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2021/1/21,864749,1978
446,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",2019/7/29,1113169,1937
447,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002/8/21,86312,1853
448,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014/1/24,916365,1938
449,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020/12/21,1318605,2003
450,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005/8/10,100493,1935
451,TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",2010/11/17,1466258,1871
452,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018/3/19,946581,1993
453,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001/3/12,97476,1930
454,TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978/12/31,217346,1923
455,TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020/6/22,860731,1966
456,UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",2015/9/3,100517,1967
457,UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",2023/12/18,1543151,2009
458,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",2016/3/7,74208,1972
459,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014/9/20,352915,1979
460,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",2016/4/18,1403568,1990
461,UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994/7/1,731766,1977
462,UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",1957/3/4,100885,1862
463,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002/7/22,1090727,1907
464,URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014/9/20,1067701,1997
465,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",1999/11/1,36104,1968
466,V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",2009/12/21,1403161,1958
467,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022/6/8,1705696,2017
468,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002/12/20,1035002,1980
469,VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",2023/10/2,1967680,2023
470,VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1999/6/30,1396009,1909
471,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015/10/8,1442145,1971
472,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006/2/1,1014473,1995
473,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2013/9/23,875320,1989
474,VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",2024/5/8,1692819,2016
475,VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009/3/4,740260,1998
476,VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004/4/23,1792044,1961
477,VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983/11/30,732712,1983 (1877)
478,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019/2/27,943452,1999 (1869)
479,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",2002/1/2,1000697,1958
480,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979/12/31,1618921,2014
481,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022/4/11,1437107,2022 (Warner Bros. 1923)
482,WDAY,"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California",2024/12/23,1327811,2005
483,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009/7/1,106040,1970
484,WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008/10/31,783325,1896
485,WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009/1/30,766704,1970
486,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976/6/30,72971,1852
487,WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1998/8/31,823768,1968
488,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975/3/31,107263,1908
489,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982/8/31,104169,1962
490,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019/12/5,11544,1967
491,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,"San Francisco, California",2025/3/24,719955,1956
492,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020/5/22,105770,1923
493,WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016/1/5,1140536,2016
494,WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",1979/10/1,106535,1900
495,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008/11/14,1174922,2002
496,XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957/3/4,72903,1909
497,XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957/3/4,34088,1999
498,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",2011/11/1,1524472,2011
